Ingredient,Rating,Description,Categories,Further information
"Dead Sea minerals",Good,"Several studies demonstrate that Dead Sea minerals can have a positive effect on psoriatic skin...","Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/dead-sea-minerals
"decarboxy carnosine HCL",Best,"See carnosine , cell-communicating ingredients","Anti-Irritants, Cell-Communicating Ingredients",
"decyl glucoside",Good,"Used as a gentle detergent cleansing agent.","Surfactants/Detergent Cleansing Agents",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/surfactants-detergent-cleansing-agents/decyl-glucoside
"decyl oleate",Good,"A skin-conditioning agent derived from the esters of decyl alcohol and oleic acid.","Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/emollients/decyl-oleate
"decylene glycol",Good,"A synthetic glycol that functions as a skin-conditioning agent.","Slip Agents, Skin-Identical/Repairing Ingredients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/skin-identical-ingredients/decylene-glycol
"dehydroacetic acid",Good,"A synthetic preservative uses in amounts of 0.6% or less. Sometimes its salt form (known as sodium...","Preservatives",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/preservatives/dehydroacetic-acid
"dehydroepiandrosterone",Average,"See DHEA","Miscellaneous",
"deionized/demineralized water",Good,"Filtered water used in cosmetics. All water used in cosmetic formulations goes through this process...","Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/deionizeddemineralized-water
"denatured alcohol",Poor,"See alcohol","Irritants",
"deoxyribonucleic acid",Average,"See DNA","Miscellaneous",
"detergent cleansing agent",Good,"See surfactant","Surfactants/Detergent Cleansing Agents",
"deuterium oxide",Average,"See heavy water","Miscellaneous",
"dextran",Good,"Polysaccharide that has water-binding properties for skin.","Skin-Identical/Repairing Ingredients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/skin-identical-ingredients/dextran
"dextrin",Good,"Carbohydrate that is classified as a polysaccharide. It is used as an adhesive when mixed with...","Film-Forming/Holding Agents",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/film-forming-holding-agents/dextrin
"DHA",Good,"See dihydroxyacetone","Miscellaneous",
"DHEA",Average,"Also called prasterone and dehydroepiandrosterone, DHEA is a naturally occurring steroid hormone...","Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/dhea
"di-PPG-3 myristyl ether adipate",Good,"Derivative of myristyl alcohol (a fatty alcohol) and adipic acid (a buffering and neutralizing...","Thickeners/Emulsifiers",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/di-ppg-3-myristyl-ether-adipate
"diatomaceous earth",Average,"Light-colored porous rock composed of the skeletons of minute sea creatures called diatoms....","Scrub Agents",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/scrub-agents/diatomaceous-earth
"diazolidinyl urea",Average,"A water-soluble preservative that is very effective against a broad range of bacteria. Also has...","Preservatives",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/preservatives/diazolidinyl-urea
"dibutyl phthalate",Average,"Also known as DBP, it is a common ingredient in nail polish and most synthetic fragrances sold...","Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/dibutyl-phthalate
"dicaprylyl carbonate",Good,"An emollient ingredient that may be derived from synthetic or animal sources. It spreads easily and...","Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/emollients/dicaprylyl-carbonate
"dicetyl phosphate",Good,"A mix of portions from cetyl alcohol and phosphoric acid that functions as surfactant and emulsifier.","Emulsifiers, Surfactants/Detergent Cleansing Agents",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/emulsifiers/dicetyl-phosphate
"diethanolamine",Average,"Colorless liquid used as a solvent and pH adjuster. Also used as a lather agent in skin- and...","Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/diethanolamine
"diethylhexyl carbonate",Good,"A synthetic oil-like ester that functions as a skin-conditioning agent and emollient. Also used in...","Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/emollients/diethylhexyl-carbonate
"diethylhexyl malate",Good,"Emollient and skin-conditioning agent derived from the solvent ethyl hexanediol.","Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/emollients/diethylhexyl-malate
"diethylhexyl syringylidenemalonate",Good,"An ester that functions as an antioxidant and helps protect cosmetics products from chemical or physical deterioration...","Antioxidants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/diethylhexyl-syringylidenemalonate
"Differin",Best,"Differin (also called adapalene) is a retinoid, a form of vitamin A that has been shown in clinical...","Prescription Drugs",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/prescription-drugs/Differin
"dihydrocholeth-30",Good,"A synthetic ingredient that functions as an emulsifier...","Emulsifiers, Surfactants/Detergent Cleansing Agents",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/emulsifiers/dihydrocholeth-30
"dihydroxyacetone",Good,"Ingredient present in all self-tanners that affects the color of skin. Derived from sugar, it...","Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/dihydroxyacetone
"diisopropyl adipate",Good,"Used as a film-forming agent, emollient, and skin-conditioning agent.","Film-Forming/Holding Agents, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/film-forming-holding-agents/diisopropyl-adipate
"diisopropyl dimer dilinoleate",Good,"A synthetic ester that functions as a skin-conditioning agent and emollient.","Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/emollients/diisopropyl-dimer-dilinoleate
"diisostearoyl trimethylolpropane siloxy silicate",Good,"Skin-conditioning agent in the silicone family.","Silicones, Slip Agents, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/silicones/diisostearoyl-trimethylolpropane-siloxy-silicate
"diisostearyl dimer dilinoleate",Good,"A synthetic ester that functions as an emollient and skin-conditioning agent. May be animal-derived.","Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/emollients/diisostearyl-dimer-dilinoleate
"diisostearyl malate",Good,"Diisostearyl malate is an ester that functions as a skin-conditioning agent and emollient...","Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/emollients/diisostearyl-malate
"dill extract",Best,"An herbal extract most commonly used to season foods. Dill contains a volatile component called...","Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/dill-extract
"dimer dilinoleyl dimer dilinoleate",Good,"A mixture of fatty acids and a fatty alcohol. This synthetic ingredient functions as a binder, skin-conditioning agent...","Thickeners, Miscellaneous, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/emollients/dimer-dilinoleyl-dime-dilinoleate
"dimethicone",Good,"See silicone","Silicones, Slip Agents, Emollients",
"dimethicone copolyol",Good,"See silicone","Silicones, Slip Agents, Emollients",
"dimethicone crosspolymer",Good,"Silicone derivative used as a stabilizing or suspending agent or as a thickener.","Thickeners/Emulsifiers, Silicones, Slip Agents, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/dimethicone-crosspolymer
"dimethicone/PEG-10/15 crosspolymer",Good,"A mixture of the silicone dimethicone with PEG-10 and PEG-15.","Silicones, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/silicones/dimethiconepeg-1015-crosspolymer
"dimethicone/vinyl dimethicone crosspolymer",Good,"See polymer , silicone","Thickeners/Emulsifiers, Silicones",
"dimethiconol",Good,"See silicone","Silicones, Slip Agents, Emollients",
"dimethyl capramide",Good,"Functions as a stabilizer and solvent in cosmetics.","Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/dimethyl-capramide
"dimethyl ether",Poor,"Colorless gas used as a propellant in aerosol products. It is toxic if inhaled and can be...","Miscellaneous, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/dimethyl-ether
"dimethyl isosorbide",Good,"A solvent derived from the sugar sorbitol...","Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/dimethyl-isosorbide
"dimethyl MEA",Average,"See dimethylaminoethanol (DMAE)","Cell-Communicating Ingredients",
"dimethylaminoethanol (DMAE)",Average,"What little research there is about DMAE relates to its effect as an oral supplement, and the...","Cell-Communicating Ingredients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/cell-communicating-ingredients/dimethylaminoethanol-dmae
"Dioscorea villosa extract",Average,"See wild yam extract","Plant Extracts",
"dipentaerythrityl hexacaprylate/hexacaprate",Good,"Mixture of fatty acids used as an emollient and thickening agent.","Thickeners/Emulsifiers, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/dipentaerythrityl-hexacaprylatehexacaprate
"dipotassium glycyrrhizate",Best,"See licorice extract , anti-irritant","Anti-Irritants, Plant Extracts",
"dipotassium glycyrrhizinate",Best,"See licorice extract , anti-irritant","Anti-Irritants, Plant Extracts",
"dipropylene glycol",Good,"A synthetic slip agent and penetration enhancer.","Slip Agents",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/slip-agents/dipropylene-glycol
"disodium cocoamphodiacetate",Good,"Mild detergent cleansing agent.","Surfactants/Detergent Cleansing Agents",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/surfactants-detergent-cleansing-agents/disodium-cocoamphodiacetate
"disodium cocoyl glutamate",Good,"A cleansing agent derived from coconut.","Surfactants/Detergent Cleansing Agents",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/surfactants-detergent-cleansing-agents/disodium-cocoyl-glutamate
"disodium diglyceryl phosphate",Good,"Used as an emollient and thickening agent in cosmetics.","Thickeners/Emulsifiers, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/disodium-diglyceryl-phosphate
"disodium EDTA",Good,"See EDTA","Miscellaneous",
"disodium glyceryl phosphate",Good,"Used as an emollient and thickening agent in cosmetics.","Thickeners/Emulsifiers, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/disodium-glyceryl-phosphate
"disodium lauraminopropionate",Good,"A mild surfactant.","Surfactants/Detergent Cleansing Agents",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/surfactants-detergent-cleansing-agents/disodium-lauraminopropionate
"disodium lauriminodipropionate tocopheryl phosphates",Good,"A complex mixture of esters formed from a blend of tocopherol phosphates with lauriminodipropionic...","Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/disodium-lauriminodipropionate-tocopheryl-phosphates
"disodium rutinyl disulfate",Average,"No research shows this synthetic, salt-derived antioxidant has any impact on cellulite.","Antioxidants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/disodium-rutinyl-disulfate
"disteardimonium hectorite",Good,"Used as a suspending agent, often with pigments.","Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/disteardimonium-hectorite
"DMAE",Average,"See dimethylaminoethanol (DMAE)","Cell-Communicating Ingredients",
"DMDM hydantoin",Average,"Formaldehyde-releasing preservative (Source: Household and Personal Products Industry, May 2001,...","Preservatives",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/preservatives/dmdm-hydantoin
"DNA",Average,"Abbreviation for deoxyribonucleic acid. DNA is found in all cells. It is the primary component of...","Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/dna
"docosahexaenoic acid",Good,"See fatty acid","Thickeners/Emulsifiers, Emollients",
"dog rose",Good,"See rose hip","Plant Extracts",
"dogwood",Good,"There is a small amount of research showing that dogwood has antioxidant and anti-inflammatory...","Anti-Irritants, Antioxidants, Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/dogwood
"dong quai",Average,"Latin name Angelica polymorpha sinensis, is an herb that has been shown in some studies to have...","Antioxidants, Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/dong-quai
"Dromiceius oil",Good,"See emu oil","Emollients",
"dulse",Good,"See algae","Antioxidants, Plant Extracts, Thickeners/Emulsifiers, Emollients",
"durian",Good,"A tropical fruit that research has shown to be a potent antioxidants when consumed orally. It...","Antioxidants, Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/durian
"Durvillaea antarctica extract",Good,"Extract derived from a species of algae (Durvillea antarctica).","Antioxidants, Plant Extracts, Thickeners/Emulsifiers, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/durvillaea-antarctica-extract
"ecamsule",Best,"See Mexoryl SX","Sunscreen Actives",
"Echium plantagineum seed oil",Best,"A novel, non-fragrant plant oil that's a rich source of saturated fatty acids...","Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/emollients/Echium-plantagineum-seed-oil
"ectoin",Good,"Skin-conditioning agent that also functions in cosmetics as a stabilizer. There is limited research...","Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/ectoin
"EDTA",Good,"Acronym for ethylenediaminetetraacetic acid, a stabilizer used in cosmetics to prevent ingredients...","Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/edta
"egg yolk",Best,"Egg yolk is mostly water and lipids (fats), especially cholesterol, which makes it a good emollient...","Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/emollients/egg-yolk
"eicosapentaenoic acid",Best,"Fatty acid derived from salmon oil; it is a good emollient for skin. It has also been shown to...","Thickeners/Emulsifiers, Cell-Communicating Ingredients, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/eicosapentaenoic-acid
"Elaeis guineensis",Best,"See palm oil","Antioxidants, Plant Extracts, Emollients",
"elastin",Good,"Major component of skin that gives it flexibility. Sun damage causes elastin in skin to...","Skin-Identical/Repairing Ingredients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/skin-identical-ingredients/elastin
"elderberry",Good,"Has potent antioxidant properties (Source: Free Radical Biology and Medicine, July 2000, pages...","Antioxidants, Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/elderberry
"elecampane",Poor,"Latin name Inula helenium; it is a plant that can be very irritating to the skin and can trigger...","Plant Extracts, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/elecampane
"ellagic acid",Best,"Potent antioxidant compound found in pomegranate and most berries. Research has shown that, like...","Antioxidants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/ellagic-acid
"emollient",Good,"Supple, waxlike, lubricating, thickening agents that prevent water loss and have a softening and...","Thickeners/Emulsifiers, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/emollient
"emu oil",Good,"The emu (Dromaius novaehollandiae) is a large, flightless bird indigenous to Australia. The oil...","Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/emollients/emu-oil
"emulsifier",Good,"When it comes to cosmetics, an emulsifier refers to any ingredient that helps keep unlike...","Thickeners/Emulsifiers",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/emulsifier
"English ivy extract",Poor,"Can be a skin irritant due to its stimulant and astringent (skin-constricting) properties (Source:...","Plant Extracts, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/english-ivy-extract
"ensulizole",Best,"Sunscreen agent, formerly known as phenylbenzimidazole sulfonic acid. Ensulizole is the established...","Sunscreen Actives",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/sunscreen-actives/ensulizole
"Enteromorpha compressa extract",Good,"Extract from green algae.","Antioxidants, Plant Extracts, Thickeners/Emulsifiers, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/enteromorpha-compressa-extract
"enzymes",Good,"Vast group of protein molecules, produced by all living things, that act as catalysts in chemical...","Leave-On Exfoliant, Cell-Communicating Ingredients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/leave-on-exfoliant/enzymes
"epidermal growth factor (EGF)",Average,"Stimulates cell division of many different cell types. There is research showing it to be helpful...","Anti-Irritants, Cell-Communicating Ingredients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/epidermal-growth-factor-egf
"epigallocatechin gallate",Best,"One of the active constituents of green tea believed to be responsible for its many health...","Anti-Irritants, Antioxidants, Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/epigallocatechin-3-gallate
"Epilobium angustifolium extract",Best,"Extract derived from a plant commonly known as fireweed or willow herb. Can have antimicrobial...","Anti-Irritants, Antibacterial/Anti-Acne",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/epilobium-angustifolium-extract
"Equisetum arvense",Poor,"See horsetail extract","Antioxidants, Plant Extracts, Irritants",
"ergocalciferol",Good,"Technical name for vitamin D.","Antioxidants, Vitamins",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/ergocalciferol
"ergothioneine",Best,"A substance derived from animal tissue or various types of mushrooms that has potent antioxidant...","Anti-Irritants, Antioxidants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/ergothioneine
"Eriobotrya japonica",Best,"See loquat extract","Antioxidants, Plant Extracts",
"erythropoietin (Epo)",Average,"Stimulates the growth of cells that carry oxygen throughout the body (Source: Melanoma Research,...","Cell-Communicating Ingredients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/cell-communicating-ingredients/erythropoietin-epo
"erythrulose",Good,"Substance chemically similar to the self-tanning agent dihydroxyacetone. Depending on your skin...","Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/erythrulose
"escin",Good,"Extract derived from horse chestnut (Aesculus hippocastanum), this ingredient has been prescribed...","Antioxidants, Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/escin
"esculin",Poor,"Component of horse chestnut, it is considered a toxin and is not recommended for skin (Source:...","Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/irritants/esculin
"essential oil",Poor,"See volatile oil","Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Irritants",
"ester",Good,"A compound formed from the reaction between an alcohol and an acid via the elimination of water....","Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/emollients/ester
"Ester-C",Best,"Trade name for a combination form of vitamin C that contains mainly calcium ascorbate, but in...","Vitamins",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/vitamins/ester-c
"estradiol",Average,"One of the three main forms of estrogen produced by the body; the other two are estrone and...","Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/estradiol
"ethanol",Poor,"See alcohol","Irritants",
"ethoxydiglycol",Good,"See solvent","Miscellaneous",
"ethyl alcohol",Poor,"See alcohol","Irritants",
"ethyl macadamiate",Good,"Mixture of fatty acids from macadamia nut oil.","Plant Extracts, Thickeners/Emulsifiers, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/ethyl-macadamiate
"ethyl vanillin",Good,"Flavoring agent derived from vanilla. It has antioxidant properties (Source: Journal of...","Antioxidants, Fragrance: Synthetic and Fragrant Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/ethyl-vanillin
"ethylhexyl methoxycinnamate",Best,"See octyl methoxycinnamate","Sunscreen Actives",
"ethylhexyl palmitate",Good,"A mixture of a fatty alcohol and palmitic acid that functions as an emollient.","Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/emollients/ethylhexyl-palmitate
"ethylhexyl stearate",Good,"See stearic acid","Thickeners/Emulsifiers, Emollients",
"ethylhexylglycerin",Good,"A synthetic skin-conditioning agent used as a preservative or as a carrier or suspending agent for...","Miscellaneous, Preservatives",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/ethylhexylglycerin
"ethylparaben",Good,"See parabens","Preservatives",
"eucalyptus extract",Poor,"Extract that may have antibacterial, antifungal, and antiviral properties on the skin (Source: Skin...","Plant Extracts, Antibacterial/Anti-Acne, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/eucalyptus-extract
"eucalyptus oil",Poor,"Fragrant plant oil whose active constituents are found in the leaves and the oil obtained from...","Plant Extracts, Antibacterial/Anti-Acne, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/eucalyptus-oil
"Eugenia aromatica",Poor,"See clove oil","Plant Extracts, Irritants",
"Eugenia caryophyllus",Poor,"See clove oil","Plant Extracts, Irritants",
"eugenol",Poor,"Fragrance chemical that occurs naturally in some plant ingredients...","Fragrance: Synthetic and Fragrant Plant Extracts, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/fragrance-synthetic-and-plant-extracts/eugenol
"Euphorbia cerifera wax",Good,"See candelilla wax","Plant Extracts, Thickeners/Emulsifiers, Emollients",
"Euphrasia officinalis",Average,"See eyebright","Plant Extracts, Irritants",
"Euterpe oleraca",Best,"See açai","Antioxidants, Plant Extracts",
"evening primrose oil",Best,"Can have significant anti-inflammatory and emollient benefits for skin (Sources: Surgeon, February...","Anti-Irritants, Plant Extracts, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/evening-primrose-oil
"Evodia rutaecarpa extract",Good,"A species of Asian tree whose fragrant fruit functions as a good anti-inflammatory agent in...","Anti-Irritants, Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/evodia-rutaecarpa-extract
"Ext. D&C",Good,"Type of coloring agent. According to the FDA (www.fda.gov), when Ext. D&C is followed by a color,...","Coloring Agents/Pigments",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/coloring-agents-pigments/ext-dc
"eyebright",Average,"A plant; although the name sounds like it would be beneficial for the eye area, there are no...","Plant Extracts, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/eyebright
"faex",Good,"A type of yeast.","Antioxidants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/faex
"Fagus sylvatica extract",Good,"See yeast","Antioxidants",
"farnesol",Average,"Extract of plants that is used in cosmetics primarily for fragrance. A few animal studies and some...","Antioxidants, Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Antibacterial/Anti-Acne",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/farnesol
"farnesyl acetate",Average,"See farnesol","Antioxidants, Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Antibacterial/Anti-Acne",
"fatty acid",Best,"Substance typically found in plant and animal lipids (fat). Fatty acids include compounds such as...","Thickeners/Emulsifiers, Emollients, Skin-Identical/Repairing Ingredients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/fatty-acid
"fatty alcohol",Good,"Made from fatty acids; fatty alcohols are used in cosmetics as thickening agents and emollients....","Thickeners/Emulsifiers, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/fatty-alcohol
"FD&C",Good,"Type of coloring agent. According to the FDA, when FD&C is followed by a color, the color is...","Coloring Agents/Pigments",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/coloring-agents-pigments/fdc
"FD&C colors",Good,"General term for any color additive deemed to be safe and FDA-approved for use in foods, drugs, and...","Coloring Agents/Pigments",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/coloring-agents-pigments/fdc-colors
"fennel oil",Poor,"Volatile, fragrant oil that can cause skin irritation and sensitivity.","Plant Extracts, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/fennel-oil
"fennel seed extract",Poor,"Can have antioxidant properties, but on skin it can be a skin irritant and photosensitizer (Source:...","Antioxidants, Plant Extracts, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/fennel-seed-extract
"ferric ammonium ferrocyanide",Good,"Inorganic salt of ferric ferrocyanide. ","Coloring Agents/Pigments",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/coloring-agents-pigments/ferric-ammonium-ferrocyanide
"ferric ferrocyanide",Good,"Also known as Iron Blue, a coloring agent used in cosmetic products, including those designed for...","Coloring Agents/Pigments",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/coloring-agents-pigments/ferric-ferrocyanide
"Ferula foetida",Best,"See ferulic acid","Antioxidants, Plant Extracts",
"Ferula galbaniflua",Poor,"See galbanum","Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Irritants",
"ferulic acid",Best,"A plant-based antioxidant. Research suggests that it provides antioxidant and sun-protective...","Antioxidants, Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/ferulic-acid
"feverfew extract",Average,"A plant that can be very irritating to the skin and can trigger allergic reactions. The irritation...","Anti-Irritants, Plant Extracts, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/feverfew-extract
"fibroblast growth factor (FGF)",Average,"Within the body, stimulates growth of the nervous system and bone formation.","Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/fibroblast-growth-factor-fgf
"fibronectin",Good,"Type of protein found in the skin’s intercellular matrix, similar to collagen and elastin....","Skin-Identical/Repairing Ingredients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/skin-identical-ingredients/fibronectin
"Ficus carica fruit extract",Poor,"See fig","Plant Extracts, Irritants",
"fig",Poor,"Fruit that contains psoralens, which are compounds that may cause photodermatitis. Topical...","Plant Extracts, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/fig
"Filipendula glaberrima",Best,"Also known as Nakai, the root of this plant extract has been shown in vitro to be not only a potent...","Antioxidants, Plant Extracts, Cell-Communicating Ingredients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/filipendula-glaberrima
"Filipendula rubra",Best,"See meadowsweet extract","Anti-Irritants, Plant Extracts",
"film-forming agent",Good,"Large group of ingredients that are typically found in hair-care products, but that are also widely...","Film-Forming/Holding Agents",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/film-forming-holding-agents/film-forming-agent
"fir needle oil",Poor,"Volatile, fragrant oil that can cause skin irritation and sensitivity.","Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/fir-needle-oil
"fireweed extract",Best,"Extract from the Epilobium angustifolium plant; also known as willow herb.","Anti-Irritants, Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/fireweed-extract
"fish cartilage extract",Average,"May have water-binding properties, but there is no research showing that this has any benefit for...","Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/fish-cartilage-extract
"flavonoid",Best,"See bioflavonoid","Antioxidants",
"flavor",Average,"According to the U.S. Food and Drug Administration, the term ""flavor"" on a product label signifies...","Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/flavor
